title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	characteristics_ch1.1	characteristics_ch1.2	characteristics_ch1.3	treatment_protocol_ch1	growth_protocol_ch1	molecule_ch1	extract_protocol_ch1	label_ch1	label_protocol_ch1	taxid_ch1	hyb_protocol	scan_protocol	description	data_processing	platform_id	contact_name	contact_email	contact_department	contact_institute	contact_address	contact_city	contact_state	contact_zip/postal_code	contact_country	supplementary_file	data_row_count	relation	cell type:ch1	time post-treatment:ch1	tissue:ch1	treatment agent:ch1
CD4Tcell-Th1-restimulated48hour-2 [HG-U133A]	GSM565279	Public on Jul 13 2010	Jul 12 2010	Sep 01 2016	RNA	1	CD4+ T cells from PBMC	Homo sapiens	tissue: peripheral blood	cell type: CD4+ T cells	treatment agent: aCD3/aCD28	time post-treatment: 48 hrs	NA	NA	total RNA	RNeasy Mini Kit (Qiagen)	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	cRNA was hybridized on GeneChip HGU133A.	GeneChips were scanned using the Affymetrix GeneChip Scanner 3000.	Gene expression data from Th1-polarized cells 48 hrs post-restimulation	The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.	GPL96	Alex,,Abbas	abbas@gene.com	Bioinformatics	Genentech, Inc.	1 DNA Way	South San Francisco	CA	94080	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM565nnn/GSM565279/suppl/GSM565279.CEL.gz	22283	Reanalyzed by: GSE86363	CD4+ T cells	48 hrs	peripheral blood	aCD3/aCD28
CD4Tcell-Th1-restimulated48hour-3 [HG-U133A]	GSM565280	Public on Jul 13 2010	Jul 12 2010	Sep 01 2016	RNA	1	CD4+ T cells from PBMC	Homo sapiens	tissue: peripheral blood	cell type: CD4+ T cells	treatment agent: aCD3/aCD28	time post-treatment: 48 hrs	NA	NA	total RNA	RNeasy Mini Kit (Qiagen)	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	cRNA was hybridized on GeneChip HGU133A.	GeneChips were scanned using the Affymetrix GeneChip Scanner 3000.	Gene expression data from Th1-polarized cells 48 hrs post-restimulation	The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.	GPL96	Alex,,Abbas	abbas@gene.com	Bioinformatics	Genentech, Inc.	1 DNA Way	South San Francisco	CA	94080	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM565nnn/GSM565280/suppl/GSM565280.CEL.gz	22283	Reanalyzed by: GSE86363	CD4+ T cells	48 hrs	peripheral blood	aCD3/aCD28
CD4Tcell-Th2-restimulated12hour-1 [HG-U133A]	GSM565281	Public on Jul 13 2010	Jul 12 2010	Sep 01 2016	RNA	1	CD4+ T cells from PBMC	Homo sapiens	tissue: peripheral blood	cell type: CD4+ T cells	treatment agent: aCD3/aCD28	time post-treatment: 12 hrs	NA	NA	total RNA	RNeasy Mini Kit (Qiagen)	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	cRNA was hybridized on GeneChip HGU133A.	GeneChips were scanned using the Affymetrix GeneChip Scanner 3000.	Gene expression data from Th2-polarized cells 12 hrs post-restimulation	The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.	GPL96	Alex,,Abbas	abbas@gene.com	Bioinformatics	Genentech, Inc.	1 DNA Way	South San Francisco	CA	94080	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM565nnn/GSM565281/suppl/GSM565281.CEL.gz	22283	Reanalyzed by: GSE86363	CD4+ T cells	12 hrs	peripheral blood	aCD3/aCD28
CD4Tcell-Th2-restimulated12hour-2 [HG-U133A]	GSM565282	Public on Jul 13 2010	Jul 12 2010	Sep 01 2016	RNA	1	CD4+ T cells from PBMC	Homo sapiens	tissue: peripheral blood	cell type: CD4+ T cells	treatment agent: aCD3/aCD28	time post-treatment: 12 hrs	NA	NA	total RNA	RNeasy Mini Kit (Qiagen)	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	cRNA was hybridized on GeneChip HGU133A.	GeneChips were scanned using the Affymetrix GeneChip Scanner 3000.	Gene expression data from Th2-polarized cells 12 hrs post-restimulation	The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.	GPL96	Alex,,Abbas	abbas@gene.com	Bioinformatics	Genentech, Inc.	1 DNA Way	South San Francisco	CA	94080	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM565nnn/GSM565282/suppl/GSM565282.CEL.gz	22283	Reanalyzed by: GSE86363	CD4+ T cells	12 hrs	peripheral blood	aCD3/aCD28
CD4Tcell-Th2-restimulated12hour-3 [HG-U133A]	GSM565283	Public on Jul 13 2010	Jul 12 2010	Sep 01 2016	RNA	1	CD4+ T cells from PBMC	Homo sapiens	tissue: peripheral blood	cell type: CD4+ T cells	treatment agent: aCD3/aCD28	time post-treatment: 12 hrs	NA	NA	total RNA	RNeasy Mini Kit (Qiagen)	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	cRNA was hybridized on GeneChip HGU133A.	GeneChips were scanned using the Affymetrix GeneChip Scanner 3000.	Gene expression data from Th2-polarized cells 12 hrs post-restimulation	The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.	GPL96	Alex,,Abbas	abbas@gene.com	Bioinformatics	Genentech, Inc.	1 DNA Way	South San Francisco	CA	94080	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM565nnn/GSM565283/suppl/GSM565283.CEL.gz	22283	Reanalyzed by: GSE86363	CD4+ T cells	12 hrs	peripheral blood	aCD3/aCD28
CD4Tcell-Th2-restimulated48hour-1 [HG-U133A]	GSM565284	Public on Jul 13 2010	Jul 12 2010	Sep 01 2016	RNA	1	CD4+ T cells from PBMC	Homo sapiens	tissue: peripheral blood	cell type: CD4+ T cells	treatment agent: aCD3/aCD28	time post-treatment: 48 hrs	NA	NA	total RNA	RNeasy Mini Kit (Qiagen)	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	cRNA was hybridized on GeneChip HGU133A.	GeneChips were scanned using the Affymetrix GeneChip Scanner 3000.	Gene expression data from Th2-polarized cells 48 hrs post-restimulation	The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.	GPL96	Alex,,Abbas	abbas@gene.com	Bioinformatics	Genentech, Inc.	1 DNA Way	South San Francisco	CA	94080	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM565nnn/GSM565284/suppl/GSM565284.CEL.gz	22283	Reanalyzed by: GSE86363	CD4+ T cells	48 hrs	peripheral blood	aCD3/aCD28
CD4Tcell-Th2-restimulated48hour-2 [HG-U133A]	GSM565285	Public on Jul 13 2010	Jul 12 2010	Sep 01 2016	RNA	1	CD4+ T cells from PBMC	Homo sapiens	tissue: peripheral blood	cell type: CD4+ T cells	treatment agent: aCD3/aCD28	time post-treatment: 48 hrs	NA	NA	total RNA	RNeasy Mini Kit (Qiagen)	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	cRNA was hybridized on GeneChip HGU133A.	GeneChips were scanned using the Affymetrix GeneChip Scanner 3000.	Gene expression data from Th2-polarized cells 48 hrs post-restimulation	The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.	GPL96	Alex,,Abbas	abbas@gene.com	Bioinformatics	Genentech, Inc.	1 DNA Way	South San Francisco	CA	94080	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM565nnn/GSM565285/suppl/GSM565285.CEL.gz	22283	Reanalyzed by: GSE86363	CD4+ T cells	48 hrs	peripheral blood	aCD3/aCD28
CD4Tcell-Th2-restimulated48hour-3 [HG-U133A]	GSM565286	Public on Jul 13 2010	Jul 12 2010	Sep 01 2016	RNA	1	CD4+ T cells from PBMC	Homo sapiens	tissue: peripheral blood	cell type: CD4+ T cells	treatment agent: aCD3/aCD28	time post-treatment: 48 hrs	NA	NA	total RNA	RNeasy Mini Kit (Qiagen)	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	cRNA was hybridized on GeneChip HGU133A.	GeneChips were scanned using the Affymetrix GeneChip Scanner 3000.	Gene expression data from Th2-polarized cells 48 hrs post-restimulation	The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.	GPL96	Alex,,Abbas	abbas@gene.com	Bioinformatics	Genentech, Inc.	1 DNA Way	South San Francisco	CA	94080	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM565nnn/GSM565286/suppl/GSM565286.CEL.gz	22283	Reanalyzed by: GSE86363	CD4+ T cells	48 hrs	peripheral blood	aCD3/aCD28
MemoryTcell-RO-unactivated-1 [HG-U133A]	GSM565287	Public on Jul 13 2010	Jul 12 2010	Sep 01 2016	RNA	1	CD4+ CD45RO+ CD45RA- T cells from PBMC	Homo sapiens	tissue: peripheral blood	cell type: CD4+ CD45RO+ CD45RA- T cells	treatment agent: NA	time post-treatment: NA	NA	NA	total RNA	RNeasy Mini Kit (Qiagen)	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	cRNA was hybridized on GeneChip HGU133A.	GeneChips were scanned using the Affymetrix GeneChip Scanner 3000.	Gene expression data from resting memory T cells	The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.	GPL96	Alex,,Abbas	abbas@gene.com	Bioinformatics	Genentech, Inc.	1 DNA Way	South San Francisco	CA	94080	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM565nnn/GSM565287/suppl/GSM565287.CEL.gz	22283	Reanalyzed by: GSE86363	CD4+ CD45RO+ CD45RA- T cells	NA	peripheral blood	NA
MemoryTcell-RO-unactivated-2 [HG-U133A]	GSM565288	Public on Jul 13 2010	Jul 12 2010	Sep 01 2016	RNA	1	CD4+ CD45RO+ CD45RA- T cells from PBMC	Homo sapiens	tissue: peripheral blood	cell type: CD4+ CD45RO+ CD45RA- T cells	treatment agent: NA	time post-treatment: NA	NA	NA	total RNA	RNeasy Mini Kit (Qiagen)	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	cRNA was hybridized on GeneChip HGU133A.	GeneChips were scanned using the Affymetrix GeneChip Scanner 3000.	Gene expression data from resting memory T cells	The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.	GPL96	Alex,,Abbas	abbas@gene.com	Bioinformatics	Genentech, Inc.	1 DNA Way	South San Francisco	CA	94080	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM565nnn/GSM565288/suppl/GSM565288.CEL.gz	22283	Reanalyzed by: GSE86363	CD4+ CD45RO+ CD45RA- T cells	NA	peripheral blood	NA
MemoryTcell-RO-unactivated-3 [HG-U133A]	GSM565289	Public on Jul 13 2010	Jul 12 2010	Sep 01 2016	RNA	1	CD4+ CD45RO+ CD45RA- T cells from PBMC	Homo sapiens	tissue: peripheral blood	cell type: CD4+ CD45RO+ CD45RA- T cells	treatment agent: NA	time post-treatment: NA	NA	NA	total RNA	RNeasy Mini Kit (Qiagen)	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	cRNA was hybridized on GeneChip HGU133A.	GeneChips were scanned using the Affymetrix GeneChip Scanner 3000.	Gene expression data from resting memory T cells	The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.	GPL96	Alex,,Abbas	abbas@gene.com	Bioinformatics	Genentech, Inc.	1 DNA Way	South San Francisco	CA	94080	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM565nnn/GSM565289/suppl/GSM565289.CEL.gz	22283	Reanalyzed by: GSE86363	CD4+ CD45RO+ CD45RA- T cells	NA	peripheral blood	NA
MemoryTcell-RO-activated-1 [HG-U133A]	GSM565290	Public on Jul 13 2010	Jul 12 2010	Sep 01 2016	RNA	1	CD4+ CD45RO+ CD45RA- T cells from PBMC	Homo sapiens	tissue: peripheral blood	cell type: CD4+ CD45RO+ CD45RA- T cells	treatment agent: aCD3/aCD28	time post-treatment: NA	NA	NA	total RNA	RNeasy Mini Kit (Qiagen)	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	cRNA was hybridized on GeneChip HGU133A.	GeneChips were scanned using the Affymetrix GeneChip Scanner 3000.	Gene expression data from activated memory T cells	The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.	GPL96	Alex,,Abbas	abbas@gene.com	Bioinformatics	Genentech, Inc.	1 DNA Way	South San Francisco	CA	94080	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM565nnn/GSM565290/suppl/GSM565290.CEL.gz	22283	Reanalyzed by: GSE86363	CD4+ CD45RO+ CD45RA- T cells	NA	peripheral blood	aCD3/aCD28
MemoryTcell-RO-activated-2 [HG-U133A]	GSM565291	Public on Jul 13 2010	Jul 12 2010	Sep 01 2016	RNA	1	CD4+ CD45RO+ CD45RA- T cells from PBMC	Homo sapiens	tissue: peripheral blood	cell type: CD4+ CD45RO+ CD45RA- T cells	treatment agent: aCD3/aCD28	time post-treatment: NA	NA	NA	total RNA	RNeasy Mini Kit (Qiagen)	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol (Expression Analysis Technical Manual, 2001, Affymetrix).	9606	cRNA was hybridized on GeneChip HGU133A.	GeneChips were scanned using the Affymetrix GeneChip Scanner 3000.	Gene expression data from activated memory T cells	The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500.	GPL96	Alex,,Abbas	abbas@gene.com	Bioinformatics	Genentech, Inc.	1 DNA Way	South San Francisco	CA	94080	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM565nnn/GSM565291/suppl/GSM565291.CEL.gz	22283	Reanalyzed by: GSE86363	CD4+ CD45RO+ CD45RA- T cells	NA	peripheral blood	aCD3/aCD28
