Hugo	CD4+_T_cells_BGI_output2	CD4+_T_cells_BGI_output1	CD4+_T_cells_BGI_output3	CD8+_T_cells_BGI_output2	Monocytes_BGI_output2	Monocytes_BGI_output3	Monocytes_BGI	CD8+_T_cells_BGI_output3	Monocytes_BGI_output1	CD8+_T_cells_BGI	CD8+_T_cells_BGI_output1	CD4+_T_cells_BGI
AATK	0.9881543	0.9881601	0.9881543	0.1529275	11.147812	11.147812	11.309139	0.1529407	11.149903	0.17327019999999999	0.1529275	0.589448
ABAT	1.502685251689	1.502537257571	1.502685251689	2.708955	3.272684	3.272684	3.5572276	2.709319	3.273226	2.5742653	2.708955	1.8435193
ABCA1	1.0391366	1.0391139	1.0391366	0.122448	2.1566879	2.1566879	2.1363011000000003	0.12248	2.1570343	0.107509	0.122448	0.624947
ABCA10	0.4434996	0.4434745	0.4434996	1.018	0.37635457	0.37635457	0.2259716	1.0180818	0.37650877	0.7183929	1.018	0.428384
ABCA11P	0.9445106	0.9443673	0.9445106	0.3687991	0.286551	0.286551	0.218223	0.3688801	0.286593	0.393587	0.3687991	0.8062682
ABCA12	0	0	0	0	0	0	0	0	0	0	0	0
ABCA13	0.0145763	0.0145742	0.0145763	0.0380628	0.074464	0.074464	0.09238881	0.038072	0.074476	0.0513711	0.0380628	0.03376014
ABCA17P	1.3712731	1.3713471	1.3712731	2.8494859999999997	0.35508720000000005	0.35508720000000005	0.5875633	2.8491340000000003	0.3552198	2.309814	2.8494859999999997	1.2809158
ABCA2	46.01858756	46.022025832	46.01858756	91.35706090000001	14.328630949999999	14.328630949999999	12.610621461000001	91.3408727	14.31617594	95.740249	91.35706090000001	45.05527121
ABCA3	4.2569683133	4.256548311	4.2569683133	4.6275253	1.046548	1.046548	0.9409631	4.6283379	1.046689	4.905043	4.6275253	3.861332
ABCA4	0	0	0	0	0	0	0	0	0	0	0	0
ABCA5	10.43174	10.4312308	10.43174	13.704463378	1.65536068	1.65536068	1.615208857	13.705443477	1.65569522	13.422132060000001	13.704463378	9.76329
ABCA6	0.1294317	0.1294131	0.1294317	0.1327553	0.5302463	0.5302463	0.4427921	0.132789	0.5303266	0.1335936	0.1327553	0.1988036
ABCA7	75.06147	75.0604	75.06147	91.035655	56.471149	56.471149	60.381278	91.038262	56.478842	92.604073	91.035655	78.565656
ABCA8	0.285404	0.2853639	0.285404	0.48428190000000004	0.1057556	0.1057556	0.08797189999999999	0.4843936	0.10576870000000001	0.3302528	0.48428190000000004	0.2773464
ABCA9	1.1876681	1.1875468	1.1876681	1.5886862	1.673949	1.673949	1.3336166999999999	1.5889557	1.6742700000000001	1.4805831	1.5886862	1.4807169
ABCB1	3.5440884973399998	3.54496849204	3.5440884973399998	8.612118	0.0917957	0.0917957	0.0612042	8.611237	0.0918066	9.5019692	8.612118	3.7161202955
ABCB10	10.256284	10.256145	10.256284	7.52557	6.0360700000000005	6.0360700000000005	6.3669080000000005	7.52735	6.037097	7.5414200000000005	7.52557	10.129010000000001
ABCB10P1	0	0	0	0	0	0	0	0	0	0	0	0
ABCB10P3	0	0	0	0	0	0	0	0	0	0	0	0
ABCB10P4	0	0	0	0	0	0	0	0	0	0	0	0
ABCB11	0.0124391	0.0124373	0.0124391	0.0191005	0	0	0	0.0191039	0	0.0191091	0.0191005	0.0124336
ABCB4	0.0811308	0.0811193	0.0811308	0.06357009999999999	0.0481328	0.0481328	0.0715472	0.0635783	0.0481438	0.0635494	0.06357009999999999	0.0486577
ABCB5	0.31946630000000004	0.3194476	0.31946630000000004	0.0275896	0.1423193	0.1423193	0.1288957	0.0275964	0.142347	0.0516777	0.0275896	0.2800688
ABCB6	1.7022973000000001	1.7022438	1.7022973000000001	2.8573093	1.9012504	1.9012504	1.5102855	2.8572704	1.9018356	2.569416	2.8573093	1.42326461
ABCB7	13.965249	13.964575	13.965249	12.846158	12.635644753908	12.635644753908	12.725337000618586	12.847444	12.638173353444001	12.917637000163142	12.846158	14.278753
ABCB8	24.054784	24.053985	24.054784	23.5360234967	13.4982938184608	13.4982938184608	11.92581464	23.5385790196	13.5008426194061	24.920569	23.5360234967	23.63909
ABCB9	1.7697545000000001	1.7695954999999999	1.7697545000000001	1.7934191	1.472411	1.472411	1.3992062	1.7937772	1.4726439	1.8450934	1.7934191	1.9595467
ABCC1	48.772560041631	48.7678560416202	48.772560041631	39.616201000000004	11.0006306	11.0006306	10.6803534	39.623366	11.0025313	38.904309200093834	39.616201000000004	48.7450030474006
ABCC10	28.905763	28.906812000000002	28.905763	31.131843	19.261133	19.261133	17.985983	31.130236	19.265399000000002	32.1468612	31.131843	30.561666
ABCC11	0.0687096	0.0687099	0.0687096	0.26055083	0.0158754	0.0158754	0.0158774	0.26054034	0.015878	0.19329052	0.26055083	0.3527266
ABCC12	0.0538835	0.0538783	0.0538835	0	0	0	0	0	0	0.0244271	0	0.026935
ABCC13	0.0778824	0.077872	0.0778824	0.0603142	0.00882455	0.00882455	0.01470807	0.0603276	0.00882592	0.0703614	0.0603142	0.0778323
ABCC2	1.475333	1.475262	1.475333	1.730683	0.9710529999999999	0.9710529999999999	0.83512	1.7307069999999998	0.971364	1.62642	1.730683	1.7852549999999998
ABCC3	0.8053642	0.8053685	0.8053642	0.945420111215	11.4869017	11.4869017	12.020252	0.9453950112225	11.4888816	1.225851005939	0.945420111215	0.5990871
ABCC4	5.1279405	5.1281836	5.1279405	3.3289888999999997	1.3139395999999999	1.3139395999999999	0.831016517	3.3288058	1.3143409000000001	3.3339679	3.3289888999999997	4.7393839
ABCC5	2.702938	2.70334	2.702938	4.8247755	2.2019564836128	2.2019564836128	2.43683228862	4.8255784	2.2023708836121	4.9147235	4.8247755	2.8621277
ABCC6	0.2205676	0.2205382	0.2205676	0.5052713	9.179282	9.179282	9.0699512585	0.5053510999999999	9.181254	0.4119769	0.5052713	0.2866608
ABCC6P1	0	0	0	0	1.36776	1.36776	1.4580875	0	1.36811	0	0	0
ABCC6P2	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8	0.0277242	0.0277201	0.0277242	0.0399623	0.04639343	0.04639343	0.056731489999999996	0.039972100000000003	0.046400910000000004	0.07166990000000001	0.0399623	0.0221694
ABCC9	1.00772	1.00756	1.00772	0.979192	0.522629	0.522629	0.522109	0.979443	0.522716	1.01579	0.979192	0.938257
ABCD1	4.5371500000000005	4.5365519999999995	4.5371500000000005	2.772234	20.042142	20.042142	20.11291	2.772838	20.045668	2.9005099999999997	2.772234	4.41529
ABCD1P2	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P3	0	0	0	0	0	0	0.0522982	0	0	0	0	0
ABCD1P4	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P5	0	0	0	0	0	0	0	0	0	0	0	0
ABCD2	3.13496	3.13449	3.13496	2.32607	0.0112311	0.0112311	0.0112324	2.32665	0.0112329	2.34427	2.32607	3.31285
ABCD3	11.1754119	11.1747444	11.1754119	11.06193	8.212553999999999	8.212553999999999	8.046566	11.063187	8.213932	11.571946	11.06193	10.337158
ABCD4	44.168236	44.167407	44.168236	51.054074457	30.4709424925	30.4709424925	29.342438	51.057383447	30.4777773729	51.105011	51.054074457	42.326946
ABCE1	36.129362	36.127627	36.129362	29.471928	9.8757505	9.8757505	9.6656099	29.476217	9.8776443	28.090286	29.471928	34.852575
ABCF1	51.90630970770131	51.90495005420412	51.90630970770131	72.9578841	33.0047614	33.0047614	35.47243979148	72.9623676	33.0061103	72.50296825715186	72.9578841	55.4694179668051
ABCF2	15.41755	15.416995	15.41755	13.433045	14.341881	14.341881	14.662886	13.434443	14.341701	13.985249	13.433045	15.189076
ABCF2P1	0	0	0	0	0	0	0	0	0	0	0	0
ABCF2P2	0	0	0	0	0	0	0	0	0	0	0	0
ABCF3	117.03824	117.04223	117.03824	166.745653	72.12896	72.12896	69.76593000024174	166.737681	72.14633	163.802721	166.745653	116.968268
ABCG1	13.567458	13.5657953	13.567458	10.2882122	1.4684433000000001	1.4684433000000001	1.3270997	10.290362	1.4686484	10.2368296	10.2882122	12.6768947
ABCG2	0.4929909	0.4929193	0.4929909	0.617512	0	0	0	0.61766	0	0.538158	0.617512	0.5186019
ABCG4	0.0112258	0.0112243	0.0112258	0.06513479999999999	0	0	0	0.0651497	0	0.0392734	0.06513479999999999	0.033664
ABCG5	0.011166	0.0111645	0.011166	0.0363922	0.106701	0.106701	0.0497739	0.0364005	0.106717	0.0271887	0.0363922	0.0433999
ABCG8	0.340574	0.340525	0.340574	0.272295	0.22736450000000002	0.22736450000000002	0.21967360000000002	0.27236	0.2274002	0.288663	0.272295	0.2572888
ABHD1	1.025434	1.025324	1.025434	1.525265	1.24656637	1.24656637	1.1549682	1.525488	1.2469252	1.257944	1.525265	0.8778737
ABHD10	11.80778	11.80719	11.80778	8.317551	5.0800441	5.0800441	5.465756	8.318434	5.0807432	8.984061	8.317551	11.716061
ABHD11	9.29075728320486	9.29046328432801	9.29075728320486	12.915749	11.942534	11.942534	11.33503	12.916327	11.94469	13.907594	12.915749	8.1810077
ABHD11-AS1	0.172971	0.172967	0.172971	0.685196	1.4425109999999999	1.4425109999999999	0.841648	0.685209	1.44183	0.579893	0.685196	0.230636
ABHD12	21.603476999999998	21.601402	21.603476999999998	22.246052	25.783060000000003	25.783060000000003	26.318615	22.248831	25.788199000000002	22.115357	22.246052	21.585757
ABHD12B	1.371537	1.371477	1.371537	2.098731	3.4452025969999998	3.4452025969999998	3.997624	2.098819	3.446299168	2.37896	2.098731	1.634323
ABHD13	10.2983	10.2968	10.2983	7.86453	7.31449	7.31449	7.25385	7.86646	7.31568	7.96341	7.86453	10.3546
ABHD14A	16.618722000000002	16.617531	16.618722000000002	15.080036	6.0850800000000005	6.0850800000000005	5.363092	15.081755	6.085973	14.677248	15.080036	17.013461
ABHD14A-ACY1	0.727776	0.727899	0.727776	0.775507	0.9027240267409999	0.9027240267409999	0.6129807452723	0.77572700000000006	0.902907516978	0.7651467451489999	0.775507	0.7322661
ABHD14B	77.901471	77.892848	77.901471	54.628181999999995	29.097072999999998	29.097072999999998	29.964608	54.638247	29.101346	55.669421	54.628181999999995	77.320052
ABHD15	7.182	7.18092	7.182	9.32547	4.95978	4.95978	4.98279	9.32777	4.96056	9.6836	9.32547	7.31198
ABHD16A	71.9140272	71.9131134	71.9140272	90.904272	95.60109550671301	95.60109550671301	97.2763033306868	90.905836	95.61701270670883	93.176935891	90.904272	70.035120214
ABHD16B	1.989	1.98879	1.989	1.42818	7.89637	7.89637	7.26071	1.42844	7.89749	1.78114	1.42818	1.88034
ABHD17A	64.265929	64.257927	64.265929	138.30996	32.31745	32.31745	31.91503	138.33762000000002	32.32311	136.757628	138.30996	65.901892
ABHD17AP1	0.0414783	0.0414756	0.0414783	0.0379943	0.0678197	0.0678197	0.0668143	0.037998	0.0678276	0.0379157	0.0379943	0.20779
ABHD17AP3	0	0	0	0.110423	0	0	0.0241424	0.110439	0	0.0548638	0.110423	0
ABHD17AP4	0.0820112	0.0820059	0.0820112	0	0.125315	0.125315	0.192798	0	0.12533	0.0515293	0	0.0412115
ABHD17AP5	0.195176	0.195163	0.195176	0.0357739	0.0390293	0.0390293	0.0713671	0.0357776	0.039034	0.094137	0.0357739	0.117489
ABHD17AP6	0.068638	0.0686325	0.068638	0.0621843	0	0	0	0.0621921	0	0.0935735	0.0621843	0.136146
ABHD17AP7	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP8	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP9	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17B	16.74342	16.74156	16.74342	14.82711	5.1997599999999995	5.1997599999999995	5.1998	14.829830000000001	5.2005099999999995	15.18673	14.82711	16.50689
ABHD17C	1.337539	1.337471	1.337539	1.362424	1.12675	1.12675	1.0950959999999998	1.362422	1.12692	1.362655	1.362424	1.4508067608426
ABHD18	8.903953000273903	8.903021000273622	8.903953000273903	9.19233	4.108024141131001	4.108024141131001	4.420386007648948	9.193656	4.1086451412130005	8.214659000000001	9.19233	8.856083375999999
ABHD2	8.387440699999999	8.386302500000001	8.387440699999999	8.157665	12.596425	12.596425	13.2621836	8.158076	12.5988653	7.3449474	8.157665	8.990037
ABHD3	22.001321	21.999674000000002	22.001321	20.746734	21.284848	21.284848	21.293733	20.749076	21.286971	21.395827	20.746734	22.942491
ABHD4	7.570851	7.5707379999999995	7.570851	7.364997	11.130965	11.130965	9.787419	7.364488	11.118586	8.05209374941	7.364997	7.98057
ABHD5	7.201322	7.200712	7.201322	8.8374086	16.988679	16.988679	18.0384082	8.8382902	16.992347	8.27784169	8.8374086	7.0659059
ABHD6	2.2104613	2.210548	2.2104613	4.459348	7.454693	7.454693	6.7477	4.458965	7.4555	3.615653	4.459348	2.4680616
ABHD8	3.333495	3.33318	3.333495	2.32843	11.5582	11.5582	11.5164	2.32888	11.5599	2.688501	2.32843	3.349304
ABI1	58.917958611964	58.911210614142	58.917958611964	46.76378347	19.988000603857	19.988000603857	20.512669	46.77254745	19.991167293535	45.9111686015	46.76378347	58.125197
ABI1P1	0	0	0	0	0	0	0	0	0	0	0	0
ABI2	8.83948731741	8.84012543786	8.83948731741	7.522595707	3.9517655	3.9517655	3.738894	7.522407218	3.9526982	6.958562499999999	7.522595707	9.564313
ABI3	2.616778	2.616615	2.616778	8.231801	71.9573	71.9573	69.78953	8.233288	71.9665	8.852453	8.231801	2.698218
ABI3BP	3.4291286	3.4291449000000003	3.4291286	3.1209732000000003	0.55694565	0.55694565	0.5755859600000001	3.1208737	0.5571093	3.89646027	3.1209732000000003	2.9177758999999996
ABL1	18.79201	18.79074	18.79201	25.63528	18.110333999999998	18.110333999999998	18.187839	25.63817	18.114428	25.71903	25.63528	19.48564
ABL2	4.286159697137	4.285623596999	4.286159697137	3.550609	1.2909237	1.2909237	1.4884516	3.5514650000000003	1.2911362000000002	3.809883000156845	3.550609	4.064173024632806
ABLIM1	56.440866	56.435739	56.440866	34.308058100000004	0.130773	0.130773	0.11339	34.313907900000004	0.130795	35.3866443	34.308058100000004	56.766313000000004
ABLIM2	3.0612309	3.0615161	3.0612309	2.00737200145027	0.34854589999999996	0.34854589999999996	0.32249680000000003	2.00771600150011	0.34859280000000004	1.7144540000000001	2.00737200145027	2.6629458
ABLIM3	0.0784814	0.0784836	0.0784814	0.14993392	0	0	0	0.14994765	0	0.11032769	0.14993392	0.157007
ABO	1.111708	1.111768	1.111708	0.481626	0.6730430000000001	0.6730430000000001	0.9234096	0.481747	0.67334	0.503378	0.481626	0.741458
ABR	68.288509917	68.303079591	68.288509917	75.7531666	111.31856161048	111.31856161048	116.38754782458	75.7261118	111.33488433678	70.77171283664714	75.7531666	69.3395694497
ABRA	0.106125	0.106111	0.106125	0.197724	0.0445492	0.0445492	0.0268959	0.197768	0.0445561	0.114907	0.197724	0.117263
ABRACL	83.28835000000001	83.283690000000007	83.28835000000001	50.176232999999996	89.6660029	89.6660029	87.343707	50.180423	89.6896283	51.127419	50.176232999999996	86.53885
ABRAXAS1	11.908004	11.907092	11.908004	7.338457	4.369386	4.369386	3.708268	7.3392479999999995	4.370199	6.688062	7.338457	11.87072
ABRAXAS2	6.9776	6.97664	6.9776	5.77261	6.41655	6.41655	6.02279	5.77392	6.41755	5.50084	5.77261	6.56924
ABT1	23.9028	23.8995	23.9028	24.4886	12.1406	12.1406	11.8886	24.4941	12.1425	24.863	24.4886	23.9342
ABT1P1	0	0	0	0.0795631	0	0	0	0.0795695	0	0.0397943	0.0795631	0
ABTB1	64.5914	64.590819	64.5914	71.6804831	92.57181200117056	92.57181200117056	88.886271	71.6818417	92.59285600121623	74.357828112000007	71.6804831	64.310743
ABTB2	0.169479	0.169454	0.169479	0.409027	1.25301	1.25301	1.14753	0.409127	1.25321	0.403775	0.409027	0.157303
ACAA1	29.8871390869117	29.886453084879	29.8871390869117	42.058222212222	74.424027	74.424027	76.598127	42.055804226883	74.434111	40.301516	42.058222212222	31.921951
ACAA2	17.431756	17.429882	17.431756	16.189880000000002	31.8856766	31.8856766	32.1330716	16.19281	31.8902355	15.68698	16.189880000000002	17.223392
ACACA	5.962643334521	5.9629983368442	5.962643334521	6.52332510333606	2.7683178600000002	2.7683178600000002	2.9774308	6.52307762543484	2.76893566	7.1179965	6.52332510333606	5.6582127374
ACACB	7.327604	7.327584	7.327604	9.330308	4.14506059	4.14506059	3.79283525	9.330002	4.1460171599999995	8.31542	9.330308	8.234271
ACAD10	13.325239	13.324322	13.325239	13.80644444801	14.2351594	14.2351594	14.3179257	13.8070419344	14.2383007	13.8057017	13.80644444801	12.311116
ACAD11	12.766573	12.76597	12.766573	15.578648000000001	3.5996039	3.5996039	3.2670418000000003	15.577863	3.6003272	17.404004	15.578648000000001	11.800224
ACAD8	19.92457	19.922784	19.92457	22.742429	11.64752600599839	11.64752600599839	12.121501	22.745929	11.64924800595731	23.809365	22.742429	20.600832
ACAD9	6.794256	6.79378	6.794256	9.58777263	7.6199451	7.6199451	7.2446947	9.588729260000001	7.6211062	9.708077	9.58777263	7.63691
ACADL	0.259994	0.259973	0.259994	0.235991	0.259197	0.259197	0.336996	0.236022	0.25923	0.206578	0.235991	0.292435
ACADM	13.018513	13.017416	13.018513	7.5800667	6.737758	6.737758	6.9650098	7.5810429	6.7387836	7.1419215000000005	7.5800667	11.4623722
ACADS	10.568366	10.567186	10.568366	9.844805	13.696879000000001	13.696879000000001	13.895361999999999	9.846589	13.698875000000001	8.75843	9.844805	10.37158
ACADSB	9.9902	9.98927	9.9902	8.880131	2.379133	2.379133	2.241922	8.881283	2.379626	8.376473	8.880131	9.71504
ACADVL	254.843559	254.85076899999999	254.843559	402.905634	579.69780470442	579.69780470442	583.554446	402.888761	579.8392440655	401.302105	402.905634	249.770644199218
ACAN	0.12214320000000001	0.1221252	0.12214320000000001	0.1049032368207	0.012295	0.012295	0.00594834	0.1049302368367	0.0122969	0.0455484700293	0.1049032368207	0.124067
ACAP1	336.78254	336.78314	336.78254	381.05797	63.017658000000004	63.017658000000004	57.957073	381.04544	62.995639	381.964382	381.05797	340.41897
ACAP2	5.013553	5.013871	5.013553	5.5924164	5.1340611	5.1340611	5.691757	5.5918151	5.1356415	4.2844161	5.5924164	5.0548808
ACAP3	59.781828	59.782865	59.781828	95.49941685	81.69122899999999	81.69122899999999	82.956418	95.49394064	81.699004	90.13229199999999	95.49941685	58.667364
ACAT1	16.073625	16.074269	16.073625	17.467058	16.883418	16.883418	15.946425	17.463658	16.888294	16.044731	17.467058	14.543083
ACAT2	13.16133	13.16046	13.16133	10.07628	7.18096	7.18096	7.500819999999999	10.07727	7.18254	11.21284	10.07628	13.3354
ACBD3	24.554029999999997	24.553910000000002	24.554029999999997	24.5478	11.09291	11.09291	9.954249	24.54735	11.09325	23.041829999999997	24.5478	23.85876
ACBD4	8.4130839	8.4125068	8.4130839	9.303149	2.575665	2.575665	2.680746	9.304424	2.576089	9.1763853	9.303149	7.984761000000001
ACBD5	14.77910922917	14.77720256004	14.77910922917	13.064314999999999	7.8155922	7.8155922	7.699102981	13.067095	7.8168183	13.45570004	13.064314999999999	14.496591
ACBD6	25.928857999999998	25.927615999999997	25.928857999999998	25.013877	18.900522121398602	18.900522121398602	19.2562097	25.014751	18.905485221693	25.24769	25.013877	24.767711000000002
ACBD7	0.8049392999999999	0.8048764	0.8049392999999999	1.2038250000000001	0.814696	0.814696	0.702452	1.203921	0.814803	1.478933	1.2038250000000001	0.7972013
ACCS	45.321078	45.321168	45.321078	48.09758	52.406366	52.406366	51.989696310839	48.097033	52.414316	48.540151	48.09758	44.410477
ACCSL	0	0	0	0.063164391123	0	0	0	0.06317669134199999	0	0.06319360264000001	0.063164391123	0
ACD	24.699734	24.698284	24.699734	30.395751	15.8433355	15.8433355	16.0748327	30.396726	15.8464104	27.962681	30.395751	25.288836
ACE	9.633391	9.633073	9.633391	7.8851829	0.5420275999999999	0.5420275999999999	0.3380886	7.8858891	0.5421779999999999	7.4915666	7.8851829	9.188963000000001
ACE2	0	0	0	0.0160184	0	0	0	0.0160221	0	0.042064599999999994	0.0160184	0
ACE3P	0	0	0	0	0	0	0	0	0	0	0	0
ACER1	0.925578	0.92548	0.925578	1.15163	0.0418081	0.0418081	0.0263641	1.15183	0.0418137	1.28029	1.15163	0.902202
ACER2	0.608527	0.608449	0.608527	0.686849	0.0219744	0.0219744	0.0219771	0.686993	0.0219777	0.687175	0.686849	0.677424
ACER3	2.5591145	2.5587983	2.5591145	3.069849	14.177652	14.177652	14.775424	3.070181	14.1800406	2.8850888	3.069849	2.6861892800000002
ACHE	0.43134180248974	0.43128650256816	0.43134180248974	7.2335288	0.0571029	0.0571029	0.0380731	7.2348961	0.0571108	6.6826398	7.2335288	0.33193090000000003
ACIN1	164.53386	164.522843	164.53386	209.238625	78.3807763	78.3807763	74.8301983	209.257672	78.3973637	204.847984	209.238625	166.085742
ACKR1	0	0	0	0	0	0	0	0	0	0	0	0
ACKR2	0.373943	0.37390199999999996	0.373943	0.1851013	0.1920661	0.1920661	0.1660844	0.185139	0.1920952	0.258625	0.1851013	0.3224419
ACKR3	1.255116	1.255074	1.255116	0.8114559	1.1847000157651	1.1847000157651	1.2072	0.8114903	1.1848800181644	0.85938	0.8114559	0.941323
ACKR4	0.229484	0.229457	0.229484	0.281423	0.0521168	0.0521168	0.0651539	0.281479	0.0521245	0.503834	0.281423	0.278562
ACLY	34.930886	34.926497000000005	34.930886	28.503428	27.038692427786	27.038692427786	27.169216	28.508693	27.043611425018998	28.793722	28.503428	34.698721
ACMSD	0.200816545342	0.200796845215	0.200816545342	0.27285100318958	0.1399235141492	0.1399235141492	0.2398971368134	0.27289500319638	0.1399427141582	0.29571817135	0.27285100318958	0.301144025915
ACO1	1.2266074599999999	1.22643838	1.2266074599999999	1.218770974	2.89360577	2.89360577	3.00653228	1.2190563	2.89406581	1.2494518399999999	1.218770974	1.1927287899999999
ACO2	45.01464	45.011587	45.01464	45.665371	42.164834	42.164834	43.407504	45.669767	42.171996	43.414654999999996	45.665371	46.061268
ACOD1	0	0	0	0	0.200454	0.200454	0.259443	0	0.200484	0	0	0
ACOT1	2.58321	2.58291	2.58321	2.74314	1.0712441000000001	1.0712441000000001	0.870693	2.74367	1.0713892999999999	2.63119	2.74314	2.46049
ACOT11	1.565977	1.565748	1.565977	1.4737602	2.1782759	2.1782759	2.2815735999999998	1.4741267	2.1786334999999997	1.460921	1.4737602	1.4701636
ACOT12	0.0556456	0.0556442	0.0556456	0.0134802	0	0	0	0.013483	0	0.0134866	0.0134802	0.111293
ACOT13	2.087996	2.087884	2.087996	2.5776339999999998	3.575821	3.575821	3.734646	2.577762	3.576746	2.440106	2.5776339999999998	2.494833
ACOT2	12.055756	12.054527	12.055756	12.205613	2.62028	2.62028	2.736241	12.207815	2.620654	11.77755	12.205613	11.995792
ACOT4	0.841021	0.840912	0.841021	0.945905	0.10427	0.10427	0.0625792	0.946106	0.104286	0.933935	0.945905	0.962922
