id,team_name,queue,exec_time(s)
9704700,IZI,Wu Coarse,117.297761
9702453,mcpcounter_fine,Wu Fine,67.633637
9702456,timer_fine,Wu Fine,68.661111
9702459,quantiseq_fine,Wu Fine,190.008786
9702462,xcell_fine,Wu Fine,77.114021
9702464,epic_fine,Wu Fine,68.501999
9702466,cibersort_fine,Wu Fine,68.509058
9702969,REGGEN_LAB,Wu Fine,473.469426
9703778,D3Team,Wu Fine,79.44946
9703858,CCB,Wu Fine,68.096777
9703859,CCB,Wu Fine,102.743315
9703887,DA_505,Wu Fine,69.895005
9703919,DA_505,Wu Fine,1720.667289
9704132,Northwestern Polytechnical University,Wu Fine,68.274458
9704261,jdroz,Wu Fine,17.770726
9704279,Biogem,Wu Fine,96.668459
9704311,D3Team,Wu Fine,351.459289
9704317,Patrick,Wu Fine,11103.60444
9704324,Patrick,Wu Fine,319.690752
9704367,Aboensis IV,Wu Fine,NA
9704375,Rubbernecks,Wu Fine,67.948033
9704379,Rubbernecks,Wu Fine,583.533598
9704387,D3Team,Wu Fine,2205.391796
9704393,mitten_TDC19,Wu Fine,79.375989
9704396,LeiliLab,Wu Fine,109.420198
9704397,LeiliLab,Wu Fine,182.318527
9704399,Aginome-XMU,Wu Fine,98.488741
9704409,IZI,Wu Fine,13975.49194
9704411,DA_505,Wu Fine,93.991246
9704413,Cancer_Decon,Wu Fine,314.290465
9704414,ICTD,Wu Fine,313.258059
9704482,Biogem,Wu Fine,95.083948
9704577,Aboensis IV,Wu Fine,85.60953
9704616,Biogem,Wu Fine,93.595712
9704679,Aboensis IV,Wu Fine,91.167352
9704689,DA_505,Wu Fine,83.84693
9704690,Aginome-XMU,Wu Fine,208.463266
9704692,IZI,Wu Fine,16352.44208
9704703,mitten_TDC19,Wu Fine,80.438903
9704704,D3Team,Wu Fine,2187.049879
