"","samplename","platform","label","obervations","batch","bigfamily","family","celltype","coarsegrain","finegrain","treatment","In","In_opt","In_opt2","FINAL"
"naive.CD4.T.cell...donor.d","naive.CD4.T.cell...donor.d","not_known","naive.CD4.T.cell","healthy","bloodatlas","Immune","CD4","naive.CD4.T.cells","CD4.T.cells","naive.CD4.T.cells","no","No","Train","Train","Train"
"naive.CD4.T.cell...donor.e","naive.CD4.T.cell...donor.e","not_known","naive.CD4.T.cell","healthy","bloodatlas","Immune","CD4","naive.CD4.T.cells","CD4.T.cells","naive.CD4.T.cells","no","No","Train","Train","Train"
"naive.CD4.T.cell...donor.f","naive.CD4.T.cell...donor.f","not_known","naive.CD4.T.cell","healthy","bloodatlas","Immune","CD4","naive.CD4.T.cells","CD4.T.cells","naive.CD4.T.cells","no","No","Train","Train","Train"
"T.reg...donor.a","T.reg...donor.a","not_known","T.reg","healthy","bloodatlas","Immune","CD4","regulatory.T.cells","CD4.T.cells","regulatory.T.cells","no","No","Train","Train","Train"
"T.reg...donor.b","T.reg...donor.b","not_known","T.reg","healthy","bloodatlas","Immune","CD4","regulatory.T.cells","CD4.T.cells","regulatory.T.cells","no","No","Train","Train","Train"
"T.reg...donor.c","T.reg...donor.c","not_known","T.reg","healthy","bloodatlas","Immune","CD4","regulatory.T.cells","CD4.T.cells","regulatory.T.cells","no","No","Train","Train","Train"
"T.reg...donor.d","T.reg...donor.d","not_known","T.reg","healthy","bloodatlas","Immune","CD4","regulatory.T.cells","CD4.T.cells","regulatory.T.cells","no","No","Train","Train","Train"
"T.reg...donor.e","T.reg...donor.e","not_known","T.reg","healthy","bloodatlas","Immune","CD4","regulatory.T.cells","CD4.T.cells","regulatory.T.cells","no","No","Train","Train","Train"
"T.reg...donor.f","T.reg...donor.f","not_known","T.reg","healthy","bloodatlas","Immune","CD4","regulatory.T.cells","CD4.T.cells","regulatory.T.cells","no","No","Train","Train","Train"
"memory.CD8.T.cell...donor.a","memory.CD8.T.cell...donor.a","not_known","memory.CD8.T.cell","healthy","bloodatlas","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no","No","Train","Train","Train"
"memory.CD8.T.cell...donor.b","memory.CD8.T.cell...donor.b","not_known","memory.CD8.T.cell","healthy","bloodatlas","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no","No","Train","Train","Train"
"memory.CD8.T.cell...donor.c","memory.CD8.T.cell...donor.c","not_known","memory.CD8.T.cell","healthy","bloodatlas","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no","No","Train","Train","Train"
"memory.CD8.T.cell...donor.d","memory.CD8.T.cell...donor.d","not_known","memory.CD8.T.cell","healthy","bloodatlas","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no","No","Train","Train","Train"
"memory.CD8.T.cell...donor.f","memory.CD8.T.cell...donor.f","not_known","memory.CD8.T.cell","healthy","bloodatlas","Immune","CD8","memory.CD8.T.cells","CD8.T.cells","memory.CD8.T.cells","no","No","Train","Train","Train"
"naive.CD8.T.cell...donor.a","naive.CD8.T.cell...donor.a","not_known","naive.CD8.T.cell","healthy","bloodatlas","Immune","CD8","naive.CD8.T.cells","CD8.T.cells","naive.CD8.T.cells","no","No","Train","Train","Train"
"naive.CD8.T.cell...donor.b","naive.CD8.T.cell...donor.b","not_known","naive.CD8.T.cell","healthy","bloodatlas","Immune","CD8","naive.CD8.T.cells","CD8.T.cells","naive.CD8.T.cells","no","No","Train","Train","Train"
"naive.CD8.T.cell...donor.c","naive.CD8.T.cell...donor.c","not_known","naive.CD8.T.cell","healthy","bloodatlas","Immune","CD8","naive.CD8.T.cells","CD8.T.cells","naive.CD8.T.cells","no","No","Train","Train","Train"
"naive.CD8.T.cell...donor.d","naive.CD8.T.cell...donor.d","not_known","naive.CD8.T.cell","healthy","bloodatlas","Immune","CD8","naive.CD8.T.cells","CD8.T.cells","naive.CD8.T.cells","no","No","Train","Train","Train"
"naive.CD8.T.cell...donor.e","naive.CD8.T.cell...donor.e","not_known","naive.CD8.T.cell","healthy","bloodatlas","Immune","CD8","naive.CD8.T.cells","CD8.T.cells","naive.CD8.T.cells","no","No","Train","Train","Train"
"naive.CD8.T.cell...donor.f","naive.CD8.T.cell...donor.f","not_known","naive.CD8.T.cell","healthy","bloodatlas","Immune","CD8","naive.CD8.T.cells","CD8.T.cells","naive.CD8.T.cells","no","No","Train","Train","Train"
"classical.monocyte...donor.a","classical.monocyte...donor.a","not_known","classical.monocyte","healthy","bloodatlas","Immune","Myeloid","monocytes","monocytic.lineage","monocytes","no","No","Train","Train","Train"
"classical.monocyte...donor.b","classical.monocyte...donor.b","not_known","classical.monocyte","healthy","bloodatlas","Immune","Myeloid","monocytes","monocytic.lineage","monocytes","no","No","Train","Train","Train"
"classical.monocyte...donor.c","classical.monocyte...donor.c","not_known","classical.monocyte","healthy","bloodatlas","Immune","Myeloid","monocytes","monocytic.lineage","monocytes","no","No","Train","Train","Train"
"classical.monocyte...donor.d","classical.monocyte...donor.d","not_known","classical.monocyte","healthy","bloodatlas","Immune","Myeloid","monocytes","monocytic.lineage","monocytes","no","No","Train","Train","Train"
"classical.monocyte...donor.e","classical.monocyte...donor.e","not_known","classical.monocyte","healthy","bloodatlas","Immune","Myeloid","monocytes","monocytic.lineage","monocytes","no","No","Train","Train","Train"
"classical.monocyte...donor.f","classical.monocyte...donor.f","not_known","classical.monocyte","healthy","bloodatlas","Immune","Myeloid","monocytes","monocytic.lineage","monocytes","no","No","Train","Train","Train"
"intermediate.monocyte...donor.a","intermediate.monocyte...donor.a","not_known","intermediate.monocyte","healthy","bloodatlas","Immune","Myeloid","monocytes","monocytic.lineage","monocytes","no","No","Train","Train","Train"
"intermediate.monocyte...donor.b","intermediate.monocyte...donor.b","not_known","intermediate.monocyte","healthy","bloodatlas","Immune","Myeloid","monocytes","monocytic.lineage","monocytes","no","No","Train","Train","Train"
"intermediate.monocyte...donor.c","intermediate.monocyte...donor.c","not_known","intermediate.monocyte","healthy","bloodatlas","Immune","Myeloid","monocytes","monocytic.lineage","monocytes","no","No","Train","Train","Train"
"intermediate.monocyte...donor.d","intermediate.monocyte...donor.d","not_known","intermediate.monocyte","healthy","bloodatlas","Immune","Myeloid","monocytes","monocytic.lineage","monocytes","no","No","Train","Train","Train"
"intermediate.monocyte...donor.e","intermediate.monocyte...donor.e","not_known","intermediate.monocyte","healthy","bloodatlas","Immune","Myeloid","monocytes","monocytic.lineage","monocytes","no","No","Train","Train","Train"
"intermediate.monocyte...donor.f","intermediate.monocyte...donor.f","not_known","intermediate.monocyte","healthy","bloodatlas","Immune","Myeloid","monocytes","monocytic.lineage","monocytes","no","No","Train","Train","Train"
"myeloid.DC...donor.a","myeloid.DC...donor.a","not_known","myeloid.DC","healthy","bloodatlas","Immune","Myeloid","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","no","No","Train","Train","Train"
"myeloid.DC...donor.b","myeloid.DC...donor.b","not_known","myeloid.DC","healthy","bloodatlas","Immune","Myeloid","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","no","No","Train","Train","Train"
"myeloid.DC...donor.c","myeloid.DC...donor.c","not_known","myeloid.DC","healthy","bloodatlas","Immune","Myeloid","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","no","No","Train","Train","Train"
"myeloid.DC...donor.d","myeloid.DC...donor.d","not_known","myeloid.DC","healthy","bloodatlas","Immune","Myeloid","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","no","No","Train","Train","Train"
"myeloid.DC...donor.e","myeloid.DC...donor.e","not_known","myeloid.DC","healthy","bloodatlas","Immune","Myeloid","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","no","No","Train","Train","Train"
"non.classical.monocyte...donor.a","non.classical.monocyte...donor.a","not_known","non.classical.monocyte","healthy","bloodatlas","Immune","Myeloid","monocytes","monocytic.lineage","monocytes","no","No","No","No","No"
"non.classical.monocyte...donor.c","non.classical.monocyte...donor.c","not_known","non.classical.monocyte","healthy","bloodatlas","Immune","Myeloid","monocytes","monocytic.lineage","monocytes","no","No","No","No","No"
"non.classical.monocyte...donor.d","non.classical.monocyte...donor.d","not_known","non.classical.monocyte","healthy","bloodatlas","Immune","Myeloid","monocytes","monocytic.lineage","monocytes","no","No","No","No","No"
"non.classical.monocyte...donor.e","non.classical.monocyte...donor.e","not_known","non.classical.monocyte","healthy","bloodatlas","Immune","Myeloid","monocytes","monocytic.lineage","monocytes","no","No","No","No","No"
"non.classical.monocyte...donor.f","non.classical.monocyte...donor.f","not_known","non.classical.monocyte","healthy","bloodatlas","Immune","Myeloid","monocytes","monocytic.lineage","monocytes","no","No","No","No","No"
"neutrophil...donor.a","neutrophil...donor.a","not_known","neutrophil","healthy","bloodatlas","Immune","Myeloid","neutrophils","neutrophils","neutrophils","no","No","Train","Train","Train"
"neutrophil...donor.b","neutrophil...donor.b","not_known","neutrophil","healthy","bloodatlas","Immune","Myeloid","neutrophils","neutrophils","neutrophils","no","No","Train","Train","Train"
"neutrophil...donor.c","neutrophil...donor.c","not_known","neutrophil","healthy","bloodatlas","Immune","Myeloid","neutrophils","neutrophils","neutrophils","no","No","Train","Train","Train"
"neutrophil...donor.d","neutrophil...donor.d","not_known","neutrophil","healthy","bloodatlas","Immune","Myeloid","neutrophils","neutrophils","neutrophils","no","No","Train","Train","Train"
"neutrophil...donor.e","neutrophil...donor.e","not_known","neutrophil","healthy","bloodatlas","Immune","Myeloid","neutrophils","neutrophils","neutrophils","no","No","Train","Train","Train"
"neutrophil...donor.f","neutrophil...donor.f","not_known","neutrophil","healthy","bloodatlas","Immune","Myeloid","neutrophils","neutrophils","neutrophils","no","No","Train","Train","Train"
"NK.cell...donor.a","NK.cell...donor.a","not_known","NK.cell","healthy","bloodatlas","Immune","NK","NK.cells","NK.cells","NK.cells","no","No","Train","Train","Train"
"NK.cell...donor.b","NK.cell...donor.b","not_known","NK.cell","healthy","bloodatlas","Immune","NK","NK.cells","NK.cells","NK.cells","no","No","Train","Train","Train"
"NK.cell...donor.c","NK.cell...donor.c","not_known","NK.cell","healthy","bloodatlas","Immune","NK","NK.cells","NK.cells","NK.cells","no","No","Train","Train","Train"
"NK.cell...donor.d","NK.cell...donor.d","not_known","NK.cell","healthy","bloodatlas","Immune","NK","NK.cells","NK.cells","NK.cells","no","No","Train","Train","Train"
"NK.cell...donor.e","NK.cell...donor.e","not_known","NK.cell","healthy","bloodatlas","Immune","NK","NK.cells","NK.cells","NK.cells","no","No","Train","Train","Train"
"NK.cell...donor.f","NK.cell...donor.f","not_known","NK.cell","healthy","bloodatlas","Immune","NK","NK.cells","NK.cells","NK.cells","no","No","Train","Train","Train"
"basophil...donor.c","basophil...donor.c","not_known","basophil","healthy","bloodatlas","Immune","Myeloid","basophils","noise","noise","no","No","No","No","Train"
"basophil...donor.d","basophil...donor.d","not_known","basophil","healthy","bloodatlas","Immune","Myeloid","basophils","noise","noise","no","No","No","No","Train"
"basophil...donor.e","basophil...donor.e","not_known","basophil","healthy","bloodatlas","Immune","Myeloid","basophils","noise","noise","no","No","No","No","Train"
"basophil...donor.f","basophil...donor.f","not_known","basophil","healthy","bloodatlas","Immune","Myeloid","basophils","noise","noise","no","No","No","No","Train"
"eosinophil...donor.a","eosinophil...donor.a","not_known","eosinophil","healthy","bloodatlas","Immune","Myeloid","eosinophil","noise","noise","no","No","No","No","Train"
"eosinophil...donor.b","eosinophil...donor.b","not_known","eosinophil","healthy","bloodatlas","Immune","Myeloid","eosinophil","noise","noise","no","No","No","No","Train"
"eosinophil...donor.c","eosinophil...donor.c","not_known","eosinophil","healthy","bloodatlas","Immune","Myeloid","eosinophil","noise","noise","no","No","No","No","Train"
"eosinophil...donor.d","eosinophil...donor.d","not_known","eosinophil","healthy","bloodatlas","Immune","Myeloid","eosinophil","noise","noise","no","No","No","No","Train"
"eosinophil...donor.e","eosinophil...donor.e","not_known","eosinophil","healthy","bloodatlas","Immune","Myeloid","eosinophil","noise","noise","no","No","No","No","Train"
"eosinophil...donor.f","eosinophil...donor.f","not_known","eosinophil","healthy","bloodatlas","Immune","Myeloid","eosinophil","noise","noise","no","No","No","No","Train"
"plasmacytoid.DC...donor.a","plasmacytoid.DC...donor.a","not_known","plasmacytoid.DC","healthy","bloodatlas","Immune","Myeloid","plasmacytoid.DC","noise","other","no","No","No","No","Train"
"plasmacytoid.DC...donor.b","plasmacytoid.DC...donor.b","not_known","plasmacytoid.DC","healthy","bloodatlas","Immune","Myeloid","plasmacytoid.DC","noise","other","no","No","No","No","Train"
"plasmacytoid.DC...donor.c","plasmacytoid.DC...donor.c","not_known","plasmacytoid.DC","healthy","bloodatlas","Immune","Myeloid","plasmacytoid.DC","noise","other","no","No","No","No","Train"
"plasmacytoid.DC...donor.d","plasmacytoid.DC...donor.d","not_known","plasmacytoid.DC","healthy","bloodatlas","Immune","Myeloid","plasmacytoid.DC","noise","other","no","No","No","No","Train"
"plasmacytoid.DC...donor.e","plasmacytoid.DC...donor.e","not_known","plasmacytoid.DC","healthy","bloodatlas","Immune","Myeloid","plasmacytoid.DC","noise","other","no","No","No","No","Train"
"plasmacytoid.DC...donor.f","plasmacytoid.DC...donor.f","not_known","plasmacytoid.DC","healthy","bloodatlas","Immune","Myeloid","plasmacytoid.DC","noise","other","no","No","No","No","Train"
"total.PBMC...donor.a","total.PBMC...donor.a","not_known","total.PBMC","healthy","bloodatlas","Immune","total","total.PBMC","noise","noise","no","No","No","No","No"
"total.PBMC...donor.b","total.PBMC...donor.b","not_known","total.PBMC","healthy","bloodatlas","Immune","total","total.PBMC","noise","noise","no","No","No","No","No"
"total.PBMC...donor.c","total.PBMC...donor.c","not_known","total.PBMC","healthy","bloodatlas","Immune","total","total.PBMC","noise","noise","no","No","No","No","No"
"total.PBMC...donor.d","total.PBMC...donor.d","not_known","total.PBMC","healthy","bloodatlas","Immune","total","total.PBMC","noise","noise","no","No","No","No","No"
"total.PBMC...donor.e","total.PBMC...donor.e","not_known","total.PBMC","healthy","bloodatlas","Immune","total","total.PBMC","noise","noise","no","No","No","No","No"
"total.PBMC...donor.f","total.PBMC...donor.f","not_known","total.PBMC","healthy","bloodatlas","Immune","total","total.PBMC","noise","noise","no","No","No","No","No"
"gdTCR...donor.a","gdTCR...donor.a","not_known","gdTCR","healthy","bloodatlas","Immune","GD","gdTCR","other","other","no","No","No","No","Train"
"gdTCR...donor.b","gdTCR...donor.b","not_known","gdTCR","healthy","bloodatlas","Immune","GD","gdTCR","other","other","no","No","No","No","Train"
"gdTCR...donor.c","gdTCR...donor.c","not_known","gdTCR","healthy","bloodatlas","Immune","GD","gdTCR","other","other","no","No","No","No","Train"
"gdTCR...donor.d","gdTCR...donor.d","not_known","gdTCR","healthy","bloodatlas","Immune","GD","gdTCR","other","other","no","No","No","No","Train"
"gdTCR...donor.e","gdTCR...donor.e","not_known","gdTCR","healthy","bloodatlas","Immune","GD","gdTCR","other","other","no","No","No","No","Train"
"gdTCR...donor.f","gdTCR...donor.f","not_known","gdTCR","healthy","bloodatlas","Immune","GD","gdTCR","other","other","no","No","No","No","Train"
"MAIT.T.cell...donor.a","MAIT.T.cell...donor.a","not_known","MAIT.T.cell","healthy","bloodatlas","Immune","T","MAIT.T.cell","other","other","no","No","No","No","Train"
"MAIT.T.cell...donor.b","MAIT.T.cell...donor.b","not_known","MAIT.T.cell","healthy","bloodatlas","Immune","T","MAIT.T.cell","other","other","no","No","No","No","Train"
"MAIT.T.cell...donor.c","MAIT.T.cell...donor.c","not_known","MAIT.T.cell","healthy","bloodatlas","Immune","T","MAIT.T.cell","other","other","no","No","No","No","Train"
"MAIT.T.cell...donor.d","MAIT.T.cell...donor.d","not_known","MAIT.T.cell","healthy","bloodatlas","Immune","T","MAIT.T.cell","other","other","no","No","No","No","Train"
"MAIT.T.cell...donor.e","MAIT.T.cell...donor.e","not_known","MAIT.T.cell","healthy","bloodatlas","Immune","T","MAIT.T.cell","other","other","no","No","No","No","Train"
"MAIT.T.cell...donor.f","MAIT.T.cell...donor.f","not_known","MAIT.T.cell","healthy","bloodatlas","Immune","T","MAIT.T.cell","other","other","no","No","No","No","Train"
"ERR1018689","ERR1018689","Illumina Genome Analyzer IIx","colon cancer","HCT116","ERP002049","Cancer","Colon","cancer","cancer","cancer","no","Train","Train","Train","Train"
"ERR208903","ERR208903","Illumina Genome Analyzer IIx","colon cancer","HCT15","ERP002049","Cancer","Colon","cancer","cancer","cancer","no","Train","Train","Train","Train"
"ERR208904","ERR208904","Illumina Genome Analyzer IIx","colon cancer","HT29","ERP002049","Cancer","Colon","cancer","cancer","cancer","no","Train","Train","Train","Train"
"ERR208905","ERR208905","Illumina Genome Analyzer IIx","colon cancer","LS1034","ERP002049","Cancer","Colon","cancer","cancer","cancer","no","Test","Test","Test","Test"
"ERR208906","ERR208906","Illumina Genome Analyzer IIx","colon cancer","RKO","ERP002049","Cancer","Colon","cancer","cancer","cancer","no","Test","Test","Test","Test"
"ERR208907","ERR208907","Illumina Genome Analyzer IIx","colon cancer","SW48","ERP002049","Cancer","Colon","cancer","cancer","cancer","no","Test","Test","Test","Test"
"ERR208908","ERR208908","Illumina Genome Analyzer IIx","colon cancer","SW480","ERP002049","Cancer","Colon","cancer","cancer","cancer","no","Test","Test","Test","Test"
"ERR701467","ERR701467","Illumina HiSeq 1500","macrophages","tumor associated macrophages","ERP009022","Immune","Myeloid","macrophages","monocytic.lineage","macrophages","no","Test","Train","Train","Train"
"ERR701468","ERR701468","Illumina HiSeq 1500","macrophages","tumor associated macrophages","ERP009022","Immune","Myeloid","macrophages","monocytic.lineage","macrophages","no","Test","Train","Train","Train"
"ERR701469","ERR701469","Illumina HiSeq 1500","macrophages","tumor associated macrophages","ERP009022","Immune","Myeloid","macrophages","monocytic.lineage","macrophages","no","Test","Train","Train","Train"
"ERR701470","ERR701470","Illumina HiSeq 1500","macrophages","tumor associated macrophages","ERP009022","Immune","Myeloid","macrophages","monocytic.lineage","macrophages","no","Test","Train","Train","Train"
"ERR701471","ERR701471","Illumina Genome Analyzer II","macrophages","tumor associated macrophages","ERP009022","Immune","Myeloid","macrophages","monocytic.lineage","macrophages","no","Test","Train","Train","Train"
"ERR701472","ERR701472","Illumina HiSeq 1500","macrophages","tumor associated macrophages","ERP009022","Immune","Myeloid","macrophages","monocytic.lineage","macrophages","no","Test","Train","Train","Train"
"ERR701473","ERR701473","Illumina Genome Analyzer II","macrophages","tumor associated macrophages","ERP009022","Immune","Myeloid","macrophages","monocytic.lineage","macrophages","no","Test","Train","Train","Train"
"ERR701474","ERR701474","Illumina HiSeq 1500","macrophages","tumor associated macrophages","ERP009022","Immune","Myeloid","macrophages","monocytic.lineage","macrophages","no","Test","Train","Train","Train"
"ERR701475","ERR701475","Illumina HiSeq 1500","macrophages","tumor associated macrophages","ERP009022","Immune","Myeloid","macrophages","monocytic.lineage","macrophages","no","Test","Train","Train","Train"
"ERR701476","ERR701476","Illumina HiSeq 1500","macrophages","tumor associated macrophages","ERP009022","Immune","Myeloid","macrophages","monocytic.lineage","macrophages","no","Test","Train","Train","Train"
"ERR701477","ERR701477","Illumina HiSeq 1500","macrophages","tumor associated macrophages","ERP009022","Immune","Myeloid","macrophages","monocytic.lineage","macrophages","no","Test","Train","Train","Train"
"ERR701478","ERR701478","Illumina Genome Analyzer II","macrophages","tumor associated macrophages","ERP009022","Immune","Myeloid","macrophages","monocytic.lineage","macrophages","no","Test","Train","Train","Train"
"ERR701479","ERR701479","Illumina HiSeq 1500","macrophages","tumor associated macrophages","ERP009022","Immune","Myeloid","macrophages","monocytic.lineage","macrophages","no","Test","Train","Train","Train"
"SAMN12838786","SAMN12838786","Illumina HiSeq 4000","TRM.CD4 T cells.LN","LN","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838788","SAMN12838788","Illumina HiSeq 4000","TRM.CD4 T cells.Lung","Lung","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838790","SAMN12838790","Illumina HiSeq 4000","TRM.CD4 T cells.Lung","Lung","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838792","SAMN12838792","Illumina HiSeq 4000","TRM.CD4 T cells.LN","LN","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838794","SAMN12838794","Illumina HiSeq 4000","TRM.CD4 T cells.Lung","Lung","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838795","SAMN12838795","Illumina HiSeq 4000","TRM.CD4 T cells.LN","LN","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838797","SAMN12838797","Illumina HiSeq 4000","EM.CD4 T cells.Lung","Lung","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838799","SAMN12838799","Illumina HiSeq 4000","TRM.CD4 T cells.Lung","Lung","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838801","SAMN12838801","Illumina HiSeq 4000","TRM.CD4 T cells.LN","LN","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838803","SAMN12838803","Illumina HiSeq 4000","TRM.CD4 T cells.Lung","Lung","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838805","SAMN12838805","Illumina HiSeq 4000","TRM.CD4 T cells.LN","LN","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838807","SAMN12838807","Illumina HiSeq 4000","TRM.CD4 T cells.Lung","Lung","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838808","SAMN12838808","Illumina HiSeq 4000","TRM.CD4 T cells.Lung","Lung","PRJNA574052","Immune","CD4","memory.CD4.T.cells","CD4.T.cells","memory.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838811","SAMN12838811","Illumina HiSeq 4000","naive.CD4 T cells.LN","LN","PRJNA574052","Immune","CD4","naive.CD4.T.cells","CD4.T.cells","naive.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838813","SAMN12838813","Illumina HiSeq 4000","naive.CD4 T cells.Lung","Lung","PRJNA574052","Immune","CD4","naive.CD4.T.cells","CD4.T.cells","naive.CD4.T.cells","no",NA,NA,NA,NA
"SAMN12838815","SAMN12838815","Illumina HiSeq 4000","naive.CD4 T cells.LN","LN","PRJNA574052","Immune","CD4","naive.CD4.T.cells","CD4.T.cells","naive.CD4.T.cells","no",NA,NA,NA,NA
