GSM,GSE,GPL,val,technology,title,ReadLength,cell.type,ReadsType
GSM1915599,GSE74246;GSE75384,GPL18573,CD14+ monocyte cell,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),72,monocytic.lineage,PAIRED
GSM1915592,GSE74246;GSE75384,GPL18573,CD19+CD20+ B cell,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),72,B.cells,PAIRED
GSM1915594,GSE74246;GSE75384,GPL18573,CD8+ T cell,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),72,CD8.T.cells,PAIRED
GSM1915624,GSE74246;GSE75384,GPL18573,CD14+ monocyte cell,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),72,monocytic.lineage,PAIRED
GSM1915616,GSE74246;GSE75384,GPL18573,CD19+CD20+ B cell,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),72,B.cells,PAIRED
GSM1915617,GSE74246;GSE75384,GPL18573,CD4+ T cell,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),72,CD4.T.cells,PAIRED
GSM1915626,GSE74246;GSE75384,GPL18573,CD56+ natural killer cell,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),72,NK.cells,PAIRED
GSM1915618,GSE74246;GSE75384,GPL18573,CD8+ T cell,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),72,CD8.T.cells,PAIRED
GSM2320015,GSE79046;GSE87055,GPL18573,Neutrophil,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),78.99444434,neutrophils,PAIRED
GSM2320004,GSE79046;GSE87055,GPL18573,Macrophage,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),79.04204631,macrophages,PAIRED
GSM2320007,GSE79046;GSE87055,GPL18573,Macrophage,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),79.0470521,macrophages,PAIRED
GSM2320008,GSE79046;GSE87055,GPL18573,Monocyte,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),79.0535266,monocytic.lineage,PAIRED
GSM2320005,GSE79046;GSE87055,GPL18573,Macrophage,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),79.05492176,macrophages,PAIRED
GSM2320012,GSE79046;GSE87055,GPL18573,Neutrophil,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),79.05588491,neutrophils,PAIRED
GSM2320006,GSE79046;GSE87055,GPL18573,Macrophage,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),79.05935936,macrophages,PAIRED
GSM2320009,GSE79046;GSE87055,GPL18573,Monocyte,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),79.06018669,monocytic.lineage,PAIRED
GSM2320013,GSE79046;GSE87055,GPL18573,Neutrophil,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),79.06197836,neutrophils,PAIRED
GSM2320011,GSE79046;GSE87055,GPL18573,Monocyte,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),79.07052278,monocytic.lineage,PAIRED
GSM2320010,GSE79046;GSE87055,GPL18573,Monocyte,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),79.07488495,monocytic.lineage,PAIRED
GSM2320014,GSE79046;GSE87055,GPL18573,Neutrophil,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),79.08435573,neutrophils,PAIRED
GSM2576226,GSE97727,GPL18573,Lin-CD56+CD94+ (NK),high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),84.47243685,NK.cells,PAIRED
GSM2576224,GSE97727,GPL18573,Lin-CD56+CD94+ (NK),high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),84.47930539,NK.cells,PAIRED
GSM2825147,GSE105253,GPL18573,monocyte,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),85.03014734,monocytic.lineage,PAIRED
GSM2825155,GSE105253,GPL18573,monocyte,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),85.03290315,monocytic.lineage,PAIRED
GSM2825149,GSE105253,GPL18573,monocyte,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),85.03468094,monocytic.lineage,PAIRED
GSM2825153,GSE105253,GPL18573,monocyte,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),85.03928507,monocytic.lineage,PAIRED
GSM2825156,GSE105253,GPL18573,monocyte,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),85.04083338,monocytic.lineage,PAIRED
GSM2825154,GSE105253,GPL18573,monocyte,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),85.04209495,monocytic.lineage,PAIRED
GSM2825148,GSE105253,GPL18573,monocyte,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),85.04447478,monocytic.lineage,PAIRED
GSM2825150,GSE105253,GPL18573,monocyte,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),85.04447824,monocytic.lineage,PAIRED
GSM2825152,GSE105253,GPL18573,monocyte,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),85.04527462,monocytic.lineage,PAIRED
GSM2825151,GSE105253,GPL18573,monocyte,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),85.05039973,monocytic.lineage,PAIRED
GSM3301725,GSE117481,GPL18573,naive Treg,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),85.12972,regulatory.T.cells,PAIRED
GSM3301724,GSE117481,GPL18573,naive Treg,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),85.13362191,regulatory.T.cells,PAIRED
GSM3301726,GSE117481,GPL18573,naive Treg,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),85.13382801,regulatory.T.cells,PAIRED
GSM3301722,GSE117481,GPL18573,naive Treg,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),85.14010709,regulatory.T.cells,PAIRED
GSM3301720,GSE117481,GPL18573,naive Treg,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),85.14063241,regulatory.T.cells,PAIRED
GSM3301719,GSE117481,GPL18573,naive Treg,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),85.14139141,regulatory.T.cells,PAIRED
GSM3301723,GSE117481,GPL18573,naive Treg,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),85.14371659,regulatory.T.cells,PAIRED
GSM3301721,GSE117481,GPL18573,naive Treg,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),85.14512089,regulatory.T.cells,PAIRED
GSM2790808,GSE104149,GPL18573,Monocyte,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),86,monocytic.lineage,PAIRED
GSM2790811,GSE104149,GPL18573,Monocyte,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),86,monocytic.lineage,PAIRED
GSM2790809,GSE104149,GPL18573,Monocyte,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),86,monocytic.lineage,PAIRED
GSM2790810,GSE104149,GPL18573,Monocyte,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),86,monocytic.lineage,PAIRED
GSM3271332,GSE117106,GPL18573,monocyte cell line,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),86,monocytic.lineage,PAIRED
GSM3271331,GSE117106,GPL18573,monocyte cell line,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),86,monocytic.lineage,PAIRED
GSM3271333,GSE117106,GPL18573,monocyte cell line,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),86,monocytic.lineage,PAIRED
GSM3271336,GSE117106,GPL18573,monocyte cell line,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),86,monocytic.lineage,PAIRED
GSM3271334,GSE117106,GPL18573,monocyte cell line,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),86,monocytic.lineage,PAIRED
GSM3271335,GSE117106,GPL18573,monocyte cell line,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),86,monocytic.lineage,PAIRED
GSM3271339,GSE117106,GPL18573,monocyte cell line,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),86,monocytic.lineage,PAIRED
GSM3271340,GSE117106,GPL18573,monocyte cell line,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),86,monocytic.lineage,PAIRED
GSM3271341,GSE117106,GPL18573,monocyte cell line,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),86,monocytic.lineage,PAIRED
GSM3271338,GSE117106,GPL18573,monocyte cell line,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),86,monocytic.lineage,PAIRED
GSM3271342,GSE117106,GPL18573,monocyte cell line,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),86,monocytic.lineage,PAIRED
GSM3271337,GSE117106,GPL18573,monocyte cell line,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),86,monocytic.lineage,PAIRED
GSM2330093,GSE87392,GPL18573,Eomes positive NK cells,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),86,NK.cells,PAIRED
GSM2330100,GSE87392,GPL18573,Eomes negative NK cells,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),86,NK.cells,PAIRED
GSM2330098,GSE87392,GPL18573,Eomes negative NK cells,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),86,NK.cells,PAIRED
GSM2330094,GSE87392,GPL18573,Eomes negative NK cells,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),86,NK.cells,PAIRED
GSM2330101,GSE87392,GPL18573,Eomes positive NK cells,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),86,NK.cells,PAIRED
GSM2330095,GSE87392,GPL18573,Eomes positive NK cells,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),86,NK.cells,PAIRED
GSM2330099,GSE87392,GPL18573,Eomes positive NK cells,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),86,NK.cells,PAIRED
GSM2330097,GSE87392,GPL18573,Eomes positive NK cells,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),86,NK.cells,PAIRED
GSM2330096,GSE87392,GPL18573,Eomes negative NK cells,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),86,NK.cells,PAIRED
GSM2330092,GSE87392,GPL18573,Eomes negative NK cells,high-throughput sequencing,Illumina NextSeq 500 (Homo sapiens),86,NK.cells,PAIRED
GSM3071056,GSE112482,GPL18460,NK,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),90,NK.cells,PAIRED
GSM3071057,GSE112482,GPL18460,NK,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),90,NK.cells,PAIRED
GSM3071009,GSE112482,GPL18460,NK,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),90,NK.cells,PAIRED
GSM3071008,GSE112482,GPL18460,NK,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),90,NK.cells,PAIRED
GSM3070985,GSE112482,GPL18460,NK,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),90,NK.cells,PAIRED
GSM3071044,GSE112482,GPL18460,NK,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),90,NK.cells,PAIRED
GSM3071045,GSE112482,GPL18460,NK,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),90,NK.cells,PAIRED
GSM3070973,GSE112482,GPL18460,NK,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),90,NK.cells,PAIRED
GSM3070996,GSE112482,GPL18460,NK,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),90,NK.cells,PAIRED
GSM3070972,GSE112482,GPL18460,NK,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),90,NK.cells,PAIRED
GSM3070997,GSE112482,GPL18460,NK,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),90,NK.cells,PAIRED
GSM3071020,GSE112482,GPL18460,NK,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),90,NK.cells,PAIRED
GSM3071021,GSE112482,GPL18460,NK,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),90,NK.cells,PAIRED
GSM3070984,GSE112482,GPL18460,NK,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),90,NK.cells,PAIRED
GSM3071032,GSE112482,GPL18460,NK,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),90,NK.cells,PAIRED
GSM3071033,GSE112482,GPL18460,NK,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),90,NK.cells,PAIRED
GSM3071063,GSE112483,GPL18460,endo,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),90,endothelial.cells,PAIRED
GSM3071099,GSE112483,GPL18460,endo,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),90,endothelial.cells,PAIRED
GSM3071098,GSE112483,GPL18460,endo,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),90,endothelial.cells,PAIRED
GSM3071086,GSE112483,GPL18460,endo,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),90,endothelial.cells,PAIRED
GSM3071087,GSE112483,GPL18460,endo,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),90,endothelial.cells,PAIRED
GSM3071074,GSE112483,GPL18460,endo,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),90,endothelial.cells,PAIRED
GSM3071075,GSE112483,GPL18460,endo,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),90,endothelial.cells,PAIRED
GSM3071127,GSE112483,GPL18460,NK,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),90,NK.cells,PAIRED
GSM3071133,GSE112483,GPL18460,endo,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),90,endothelial.cells,PAIRED
GSM3071062,GSE112483,GPL18460,endo,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),90,endothelial.cells,PAIRED
GSM3071092,GSE112483,GPL18460,NK,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),90,NK.cells,PAIRED
GSM3071139,GSE112483,GPL18460,NK,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),90,NK.cells,PAIRED
GSM3071126,GSE112483,GPL18460,NK,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),90,NK.cells,PAIRED
GSM3071106,GSE112483,GPL18460,NK,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),90,NK.cells,PAIRED
GSM3071149,GSE112483,GPL18460,NK,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),90,NK.cells,PAIRED
GSM3071119,GSE112483,GPL18460,NK,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),90,NK.cells,PAIRED
GSM3071118,GSE112483,GPL18460,NK,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),90,NK.cells,PAIRED
GSM3071132,GSE112483,GPL18460,endo,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),90,endothelial.cells,PAIRED
GSM3071148,GSE112483,GPL18460,NK,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),90,NK.cells,PAIRED
GSM3071138,GSE112483,GPL18460,NK,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),90,NK.cells,PAIRED
GSM3071107,GSE112483,GPL18460,NK,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),90,NK.cells,PAIRED
GSM3071093,GSE112483,GPL18460,NK,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),90,NK.cells,PAIRED
GSM3043273,GSE111880,GPL18460,Raji B cell,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),91,B.cells,PAIRED
GSM3043274,GSE111880,GPL18460,Raji B cell,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),91,B.cells,PAIRED
GSM2473290,GSE94330,GPL11154,Raji B cells,high-throughput sequencing,Illumina HiSeq 2000 (Homo sapiens),91,B.cells,PAIRED
GSM2473288,GSE94330,GPL11154,Raji B cells,high-throughput sequencing,Illumina HiSeq 2000 (Homo sapiens),91,B.cells,PAIRED
GSM2473292,GSE94330,GPL11154,Raji B cells,high-throughput sequencing,Illumina HiSeq 2000 (Homo sapiens),91,B.cells,PAIRED
GSM2473286,GSE94330,GPL11154,Raji B cells,high-throughput sequencing,Illumina HiSeq 2000 (Homo sapiens),91,B.cells,PAIRED
GSM2473284,GSE94330,GPL11154,Raji B cells,high-throughput sequencing,Illumina HiSeq 2000 (Homo sapiens),91,B.cells,PAIRED
GSM2753267,GSE103068,GPL18460,MV-4-11-B cells,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),95,B.cells,PAIRED
GSM2753270,GSE103068,GPL18460,MV-4-11-B cells,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),95,B.cells,PAIRED
GSM2753269,GSE103068,GPL18460,MV-4-11-B cells,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),95,B.cells,PAIRED
GSM2753285,GSE103068,GPL18460,MV-4-11-B cells,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),95,B.cells,PAIRED
GSM2753275,GSE103068,GPL18460,MV-4-11-B cells,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),95,B.cells,PAIRED
GSM2753279,GSE103068,GPL18460,MV-4-11-B cells,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),95,B.cells,PAIRED
GSM2753266,GSE103068,GPL18460,MV-4-11-B cells,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),95,B.cells,PAIRED
GSM2753292,GSE103068,GPL18460,MV-4-11-B cells,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),95,B.cells,PAIRED
GSM2753286,GSE103068,GPL18460,MV-4-11-B cells,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),95,B.cells,PAIRED
GSM2753265,GSE103068,GPL18460,MV-4-11-B cells,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),95,B.cells,PAIRED
GSM2753284,GSE103068,GPL18460,MV-4-11-B cells,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),95,B.cells,PAIRED
GSM2753291,GSE103068,GPL18460,MV-4-11-B cells,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),95,B.cells,PAIRED
GSM2753287,GSE103068,GPL18460,MV-4-11-B cells,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),95,B.cells,PAIRED
GSM2753278,GSE103068,GPL18460,MV-4-11-B cells,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),95,B.cells,PAIRED
GSM2753280,GSE103068,GPL18460,MV-4-11-B cells,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),95,B.cells,PAIRED
GSM2753281,GSE103068,GPL18460,MV-4-11-B cells,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),95,B.cells,PAIRED
GSM2753258,GSE103068,GPL18460,MV-4-11-B cells,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),95,B.cells,PAIRED
GSM2753282,GSE103068,GPL18460,MV-4-11-B cells,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),95,B.cells,PAIRED
GSM2753276,GSE103068,GPL18460,MV-4-11-B cells,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),95,B.cells,PAIRED
GSM2753262,GSE103068,GPL18460,MV-4-11-B cells,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),95,B.cells,PAIRED
GSM2753283,GSE103068,GPL18460,MV-4-11-B cells,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),95,B.cells,PAIRED
GSM2753263,GSE103068,GPL18460,MV-4-11-B cells,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),95,B.cells,PAIRED
GSM2753271,GSE103068,GPL18460,MV-4-11-B cells,high-throughput sequencing,Illumina HiSeq 1500 (Homo sapiens),95,B.cells,PAIRED
